rrad,meanrflux,stdrflux,meantotf
201.0,0.0,0.0,5.388972359315935e+37
202.0,0.0,0.0,5.388972359315935e+37
203.0,0.0,0.0,5.388972359315935e+37
204.0,0.0,0.0,5.388972359315935e+37
205.0,0.0,0.0,5.388972359315935e+37
206.0,0.0,0.0,5.388972359315935e+37
207.0,0.0,0.0,5.388972359315935e+37
208.0,0.0,0.0,5.388972359315935e+37
209.0,0.0,0.0,5.388972359315935e+37
210.0,0.0,0.0,5.388972359315935e+37
211.0,0.0,0.0,5.388972359315935e+37
212.0,0.0,0.0,5.388972359315935e+37
213.0,0.0,0.0,5.388972359315935e+37
214.0,0.0,0.0,5.388972359315935e+37
215.0,0.0,0.0,5.388972359315935e+37
216.0,0.0,0.0,5.388972359315935e+37
217.0,0.0,0.0,5.388972359315935e+37
218.0,0.0,0.0,5.388972359315935e+37
219.0,0.0,0.0,5.388972359315935e+37
220.0,0.0,0.0,5.388972359315935e+37
221.0,0.0,0.0,5.388972359315935e+37
222.0,0.0,0.0,5.388972359315935e+37
223.0,0.0,0.0,5.388972359315935e+37
224.0,0.0,0.0,5.388972359315935e+37
225.0,0.0,0.0,5.388972359315935e+37
226.0,0.0,0.0,5.388972359315935e+37
227.0,0.0,0.0,5.388972359315935e+37
228.0,0.0,0.0,5.388972359315935e+37
229.0,0.0,0.0,5.388972359315935e+37
230.0,0.0,0.0,5.388972359315935e+37
231.0,0.0,0.0,5.388972359315935e+37
232.0,0.0,0.0,5.388972359315935e+37
233.0,0.0,0.0,5.388972359315935e+37
234.0,0.0,0.0,5.388972359315935e+37
235.0,0.0,0.0,5.388972359315935e+37
236.0,0.0,0.0,5.388972359315935e+37
237.0,0.0,0.0,5.388972359315935e+37
238.0,0.0,0.0,5.388972359315935e+37
239.0,0.0,0.0,5.388972359315935e+37
240.0,0.0,0.0,5.388972359315935e+37
241.0,0.0,0.0,5.388972359315935e+37
242.0,0.0,0.0,5.388972359315935e+37
243.0,0.0,0.0,5.388972359315935e+37
244.0,0.0,0.0,5.388972359315935e+37
245.0,0.0,0.0,5.388972359315935e+37
246.0,0.0,0.0,5.388972359315935e+37
247.0,0.0,0.0,5.388972359315935e+37
248.0,0.0,0.0,5.388972359315935e+37
249.0,0.0,0.0,5.388972359315935e+37
250.0,0.0,0.0,5.388972359315935e+37
251.0,0.0,0.0,5.388972359315935e+37
252.0,0.0,0.0,5.388972359315935e+37
253.0,0.0,0.0,5.388972359315935e+37
254.0,0.0,0.0,5.388972359315935e+37
255.0,0.0,0.0,5.388972359315935e+37
256.0,0.0,0.0,5.388972359315935e+37
257.0,0.0,0.0,5.388972359315935e+37
258.0,0.0,0.0,5.388972359315935e+37
259.0,0.0,0.0,5.388972359315935e+37
260.0,0.0,0.0,5.388972359315935e+37
261.0,0.0,0.0,5.388972359315935e+37
262.0,0.0,0.0,5.388972359315935e+37
263.0,0.0,0.0,5.388972359315935e+37
