Galaxy,EWCII,ErrEWCII,EWSiII,ErrEWSiII,VcenCII,ErrVcenCII,VcenSiII,ErrVcenSiII,RCII,ErrRCII,RSiII,ErrRSiII
J1416_1223,-3.51320427118052,0.0643562042914465,-2.73656796889813,0.0953041749012232,-103.961479547484,8.5070723000001,-112.565423626526,14.7091313364618,0.0282313197427552,0.0608085501406979,0.0695783051936079,0.124100675034567
J1418_2102,-0.976076001518996,0.0784979914047586,-1.09636593877397,0.0896991545276074,23.3851807344075,12.4618746496883,10.258726990797,14.7100437470278,0.231494226876244,0.106220142128642,0.230096965135052,0.146708054936167
J1428_1653,-1.49190254125991,0.10868648012505,-1.24727464120834,0.0935499758925067,-141.620816958754,17.2919660772841,-181.364253461435,19.8789674794564,0.193353770863119,0.180215446998799,0.382254105522952,0.166068523489056
J1429_0643,-1.73972660707916,0.0929825979590937,-1.54724743807032,0.0884608591410263,-141.238207784242,15.4160590984822,-182.809281685109,13.7805373513603,0.24364012389138,0.133229910029346,0.270657721691916,0.128763287039607
J1444_4237,-0.670165161143878,0.0600927386817696,-0.696010455948244,0.0442102235994577,-57.7111896477228,10.8699249855485,-65.8882019820939,9.06196558926408,0.312320292942493,0.0814375426181728,0.228651020057077,0.057905945228702
J1448_0110,nan,nan,-1.59338811731557,0.0566610908866277,nan,nan,-56.2783373064534,9.25889371596961,nan,nan,0.033215899705957,0.0608607811504136
J1521_0759,-1.76818345897609,0.0557333208627716,nan,nan,-89.6963380843685,7.66132294006412,nan,nan,0.0946716312605163,0.038424818944777,nan,nan
J1525_0757,-2.55033107676747,0.0743456022089756,-2.02537157948952,0.119260664859913,-327,12.7145495906886,-346.247764146747,25.6442419002329,0.0476749818121252,0.072878254362149,0.0477185663302673,0.200993007477045
J1545_0858,nan,nan,-0.790353547232687,0.0647240095617349,nan,nan,-37.3118620496284,9.92241715667093,nan,nan,0.255925033680401,0.102829612837443
J1612_0817,-3.0190410363199,0.0688499259530813,-2.42856514918773,0.0653774510576724,-366.008232699838,8.8424006525355,-368.494243987016,10.5032256703393,0.0186548664410462,0.0794880758337702,0.112392246140429,0.0946286338787975
