Galaxy,EWFluoCII,ErrEWFluoCII,EWFluoSiII,ErrEWFluoSiII,VFluoCII,ErrVFluoCII,VFluoSiII,ErrVFluoSiII,FmaxFluoCII,FmaxFluoSiII
J1016_3754,0.056211565880205226,0.050780875444952495,0.1776378678556759,0.06261344651630475,418.19499760196794,168.74097072452602,1343.749526718338,134.1793213365036,1.1252764606367252,1.2145129513644486
J1024_0524,nan,nan,0.142344728703192,0.03619964273909458,nan,nan,1068.1757631135279,135.79124871503126,nan,1.1560913869643001
J1025_3622,0.2594767318369833,0.06446534089974582,0.25768339563353454,0.09560346550500262,295.4122208939039,84.60115384223256,1090.9321463684305,85.63356237504955,1.316958767565113,1.401978368079499
J1044_0353,0.08194931987662236,0.029946023660641034,nan,nan,402.8789756125845,141.0622314699348,nan,nan,1.1126742249649262,nan
J1105_4444,nan,nan,0.1745294092686849,0.05255831975973808,nan,nan,1118.9236654795463,76.23900812934745,nan,1.2933089067035506
J1112_5503,0.4537861316825079,0.07315366729986643,0.4853365456734097,0.11148281409520215,371.01794773585885,71.1819444976167,1060.8388171513363,144.3173082216222,1.411316958841581,1.4045243795672273
J1119_5130,0.06330673323984205,0.03205690324889076,0.1012132243350732,0.040577764461557315,442.49877876356265,77.23668029946037,1182.8396823217101,115.48057359826882,1.131738821993215,1.1377779390696692
J1129_2034,0.0,0.02777985238143497,0.1698242319160814,0.05379142958554915,518.8841338279083,91.98678988955332,1143.4875008547745,124.70384346260518,1.0775778846714223,1.2297483044490565
J1132_1411,0.06681506934788875,0.041632149094419556,nan,nan,430.4605515810819,93.47064258708485,nan,nan,1.1327789077996062,nan
J1132_5722,0.03343598807499201,0.06670518760569423,0.18267478539128354,0.08843259199061744,487.5962978954816,120.37693234751897,1116.075823445222,150.73727549873283,1.1438172509186781,1.2818991934541675
J1144_4012,0.01983326185477577,0.05262331746509002,0.30710862935481714,0.1214417000816856,425.66114702577806,93.30745596598065,1108.9546571234903,175.17329247782965,1.1052162621101351,1.4569091763968183
J1148_2546,nan,nan,0.2463382491549682,0.05942805243449058,nan,nan,1103.7721793873231,98.92720933624233,nan,1.3568345372893076
J1150_1501,0.051708966250438713,0.025119010948541166,0.06684961430860314,0.028290664235932086,501.14645740080385,62.10827498553782,820.2526531204434,120.21176758467942,1.1032281220138582,1.1410145614988516
J1157_3220,0.16242262214152725,0.04729595211240792,nan,nan,379.055968381485,99.32531854063609,nan,nan,1.1737988178497696,nan
J1200_1343,nan,nan,0.2663488840056893,0.06446104722274598,nan,nan,1142.462807298202,64.15469519299343,nan,1.4638554684703862
J1225_6109,0.0,0.02822850878534877,0.005655159520183651,0.028282418018091324,491.92823168490406,83.82333021381807,872.6430714354723,191.06676480197495,1.0460223553077304,1.0643749105875808
J1253_0312,0.19375112299530622,0.03384074590741844,0.14208231019573853,0.03125907251568321,384.0541814505426,55.15207285396267,1108.5590877037362,36.879315282889074,1.244425405668177,1.2663210696880172
J1314_3452,0.10922705455457307,0.025810178388686954,0.13027009102749737,0.022273095140349468,407.9646842714932,68.70578671339037,1127.665735703613,79.64792453475947,1.1492008588183165,1.184500757131827
J1323_0132,0.40355385329187493,0.0804106074464869,0.10320746712551661,0.049039342153930326,234.0672706470162,135.09783204885935,1099.3711148418902,168.8747306667026,1.2660828168072538,1.1467347142029363
J1359_5726,0.12916177991703617,0.03365757844311117,nan,nan,331.0817547719825,38.416558072721074,nan,nan,1.264782139644393,nan
J1416_1223,0.09647526339789256,0.03304972119483296,0.2649589841968474,0.0878739929728702,557.3776458281891,28.572930705077685,1116.719344371472,133.87506303615868,1.1807389240336505,1.2878387198176373
J1418_2102,0.0,0.04157378569384919,nan,nan,465.31505321169374,120.21437474602185,nan,nan,1.0736577984943143,nan
J1428_1653,0.39101341289398295,0.09602153044408913,0.3693256042901913,0.08187635173746277,305.37062954087844,62.284333476554224,1075.7705972182366,98.19175976606881,1.5188873486499257,1.4491821438818673
J1429_0643,0.4841743727295768,0.08513749986225812,0.4373905402645163,0.07305609777835942,322.8796837065632,73.37913546398308,1097.829141994705,63.09360686978323,1.5083537187249179,1.5334439384355485
J1444_4237,0.01919305202705785,0.0389410163818116,0.09419599646530218,0.040471612971255636,321.14532856970277,134.14642721978004,1067.748741432676,174.3323305865951,1.1078337844673571,1.1355273898244804
J1448_0110,nan,nan,0.11180528948152495,0.045261135375718124,nan,nan,1100.9895281726422,114.10046488020393,nan,1.210616773101132
J1521_0759,0.11494937723511135,0.03349013856697844,nan,nan,392.8627406389051,79.9031752211,nan,nan,1.143339114007719,nan
J1525_0757,0.014894893253984525,0.04418857429403329,0.37793360068442367,0.1321971799639912,439.24426328202753,111.6620299676057,1245.8378153094848,179.6300440796669,1.105452678160028,1.3925633755415423
J1545_0858,nan,nan,0.2680051555670268,0.06842191117137252,nan,nan,1141.4760410396734,159.29120374451426,nan,1.2676646821183257
J1612_0817,0.34017685441214207,0.07529418737888935,0.39207215338202916,0.07601972371500511,366.4327521025816,155.96043835621515,1076.0796868842103,123.04060816487474,1.2879239125605335,1.3175581652272126
